order_date,order_count,z_score,is_anomaly
2023-01-30,3,3.0293469327220595,True
2023-02-27,5,3.466814256622101,True
2023-03-07,5,2.8218277524340105,True
2023-06-24,11,2.5409551693516597,True
2023-12-05,21,3.3776224379485296,True
2024-02-01,26,2.521669660368134,True
2024-03-03,25,2.680863356359134,True
2024-04-30,36,2.945642028134548,True
2024-08-16,39,2.9987284627209623,True
2024-10-14,37,2.5231938747367813,True
2024-10-15,44,3.3480081352623285,True
2025-02-09,49,2.708115799178799,True
2025-02-16,54,3.0882483410450954,True
2025-03-25,57,2.5454805384253123,True
2025-06-27,74,2.688152383512304,True
2025-07-24,90,3.304755939109075,True
2025-09-04,95,2.8920168731229214,True
2025-10-28,106,2.540343328318371,True
2025-11-14,117,2.593446024818585,True
2025-12-10,143,2.753173931587995,True
2025-12-26,190,3.0643003401169184,True
2025-12-28,190,2.58534789167965,True
2025-12-30,222,2.9713829909746687,True
2025-12-31,252,3.179234900803987,True
