date,spend,z_score,is_anomaly
2023-05-03,76785.8,3.0694910788372827,True
2023-07-30,68376.12,2.563925245658915,True
2023-08-29,76944.26,2.950548060934575,True
2023-11-17,81825.23,2.601169739664164,True
2023-12-19,78116.51,2.556022236327544,True
2024-02-22,66161.52,2.6081522912986097,True
2024-04-12,70562.79,2.833033082979172,True
2024-06-02,78826.03,2.8819884633362234,True
2024-08-04,66928.61,2.5062885906815326,True
2024-12-02,74163.91,2.68824982336726,True
2025-02-16,60017.68,2.5667144440717626,True
2025-04-27,82244.64,2.8547723529761875,True
2025-07-30,77384.97,2.841270997185374,True
2025-09-11,82361.58,2.6762402286855256,True
