return_date,refund_amount,z_score,is_anomaly
2023-03-23,5998.61,3.234884001542537,True
2023-03-26,5713.84,2.582467408537882,True
2023-03-30,12770.9,4.087179210702357,True
2023-04-01,18306.3,4.041798014327247,True
2023-04-05,19416.02,3.271697929244237,True
2023-05-09,27779.399999999998,3.1256747122680157,True
2023-05-26,31933.8,2.8808762478521692,True
2023-06-28,40198.899999999994,3.5004370426653733,True
2023-07-05,35898.91,2.629612639441078,True
2023-07-18,46189.39,2.6327324324893584,True
2023-07-28,46504.64,2.5328845549639922,True
2023-09-22,58527.36,3.1240162249070553,True
2023-11-01,67177.55,3.0966239825963,True
2023-12-01,49346.2,2.582540713427549,True
2024-02-02,71714.35,3.35184347075355,True
2024-03-01,81769.26000000001,2.7907726054465294,True
2024-04-17,71844.81,2.5854551784593474,True
2024-05-05,117329.23,3.5976993133161916,True
2024-07-01,97068.0,2.800614287536769,True
2024-09-10,93236.2,2.5560144623742524,True
2024-09-11,115502.52,2.8815652958652755,True
2024-11-01,119534.6,3.0787765827470643,True
2024-11-07,139924.58000000002,3.0758010848898794,True
2025-02-26,179240.44999999998,3.9863016106779336,True
2025-04-02,209771.28,3.679110663452954,True
2025-11-11,269204.96,2.6472739927780156,True
2025-11-23,314566.92,2.653900070458909,True
2025-12-25,344301.59,3.0251896221631474,True
