order_date,revenue,z_score,is_anomaly
2023-02-10,71195.24,2.7797035285154643,True
2023-02-27,148229.209,3.9862736938854266,True
2023-03-29,154100.293,3.7052814601850725,True
2023-04-04,160646.3935,3.01270617516538,True
2023-04-12,166531.957,2.5587330686498873,True
2023-04-14,199491.6695,2.7643830706634724,True
2023-05-12,291134.2785,3.4309260001057518,True
2023-06-19,279645.52,2.7926018900640166,True
2023-11-21,433912.2165,3.0671747142670562,True
2024-01-23,484685.988,2.656110291508697,True
2024-02-21,65249.451,-2.534911825867331,True
2024-04-06,640086.168,2.5608789866008608,True
2024-04-12,719129.817,2.7871051165769005,True
2024-04-22,757095.257,2.5845079574160805,True
2024-06-13,767234.1795,2.85528089166487,True
2024-08-16,860944.151,2.795528953292529,True
2024-10-15,1162898.366,3.5600044899867394,True
2024-11-27,242500.9565,-2.5850519143481177,True
2025-02-16,1178090.3625,2.942742421509544,True
2025-03-25,1273797.901,2.707503604398159,True
2025-06-02,1677914.7445,2.625627506200554,True
2025-07-14,1731582.116,3.0743974928222,True
2025-07-19,1686146.7264999999,2.571932770490959,True
2025-07-24,1777394.5705,2.617116751861177,True
2025-11-14,2529906.586,2.718592300101065,True
2025-12-26,3981873.436,2.8800389016829135,True
2025-12-30,4929005.177,3.1072294779938194,True
2025-12-31,4853054.7615,2.555067810469082,True
